Designator,Mid X,Mid Y,Rotation,Layer
BT1,97.75,-102.01,0.0,top
BZ1,210.0,-97.76,0.0,bottom
J1,113.5,-103.28,0.0,top
J2,148.345,-101.485,90.0,bottom
J3,189.17,-107.69,90.0,top
J4,82.525,-107.46,0.0,top
J5,214.1,-107.77,0.0,top
U1,169.0,-112.2725,90.0,top
U2,123.75,-97.01,90.0,top
