Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
"SW1, SW2, SW3, SW4",SW_PUSH-12mm,4,SW_Push,
